,GEOID,Longitude,Latitude
162,560210002003,-104.81569689329018,41.12159247388517
78,560079678002,-107.24036404929431,41.781929188296445
114,560139401001,-109.10799582580484,43.27896719877635
120,560139402021,-108.66639963631866,42.9410276904017
123,560139402024,-108.27821786065384,43.02206724842506
154,560199551002,-106.55780004929814,43.81188915415056
364,560350001011,-110.35568027842984,42.84895202189599
116,560139401003,-108.80234274619828,42.98696009428895
122,560139402023,-108.5102673104292,43.00023190558739
255,560250002004,-106.31476402930714,42.85256527229594
161,560210002002,-104.8086203635613,41.12909797233116
66,560050007021,-105.4621920145562,44.29934601575078
98,560119502001,-104.54173267543422,44.83054426850706
164,560210003001,-104.8165538896568,41.115099531104
420,560399678013,-110.77588807105585,43.46271014462926
72,560079676002,-107.50770523681764,41.39837158160279
16,560019634002,-105.58796735031667,41.3144786423345
51,560050003002,-105.50181036593756,44.27278083333096
115,560139401002,-108.88358640267622,42.9785889728283
309,560279572002,-104.210975259279,42.98885120072731
118,560139402012,-108.57187163307611,43.1718740081545
373,560379706011,-109.37582589930324,41.50570580642201
349,560330003001,-106.9505629057846,44.80170066773822
125,560139403012,-108.3716174821192,43.0142900866583
190,560210007022,-104.83623777647291,41.12891746749168
260,560250004002,-106.29331489599603,42.8509892832939
5,560019628003,-105.62154296433424,41.31134657280933
392,560379709041,-109.26206851230164,41.63979235812037
137,560159577001,-104.3370482074418,42.38107032481068
398,560379711001,-109.21589185677615,41.58345491174884
409,560399676022,-110.83748033362852,43.87395405431819
28,560019637004,-105.5035338842098,41.30672056499779
294,560250014013,-106.49351429060312,43.23702783562233
167,560210004011,-104.82172944686916,41.09578050695257
172,560210004031,-104.76935558131608,41.114840400187134
431,560419753013,-110.76691112304282,41.32465715767199
320,560299653012,-109.57662749742636,44.51269824199304
322,560299653021,-109.4418131073738,44.17700169214956
452,560459511002,-104.47301686702572,43.76586085494768
70,560050007025,-105.48121761523366,44.30258743814764
207,560210012004,-104.83332048566346,41.18214292646717
83,560079680003,-106.68116843011276,41.15389653109403
357,560330005013,-106.44491886723216,44.848456995977685
109,560130003012,-108.48207784859868,42.48805728806423
237,560239780011,-111.01613346932058,43.073060663568896
111,560130003022,-107.8115293790543,43.32666885590969
239,560239780021,-110.7730860448128,42.74827910243957
371,560379705001,-109.69936530302355,41.73361251442992
254,560250002003,-106.3309048224431,42.8481675086412
383,560379708001,-109.16622479655908,41.66555122849285
391,560379709032,-109.2621782323752,41.57213170802152
12,560019631021,-105.5802887025547,41.32536363775291
13,560019631022,-105.56432537142472,41.32279832625818
269,560250006011,-106.31389665674754,42.82446179185118
144,560159579003,-104.10505490711374,42.01960378108194
404,560379716002,-108.43425437779712,41.581149394178496
152,560179679002,-107.93118463543352,43.61802638760462
26,560019637002,-105.57709829626334,41.29816621868218
410,560399676023,-110.76308275343428,43.595248987384274
156,560199552012,-106.6814325637788,44.3379303309458
414,560399677032,-110.85393022278312,43.52129485845758
31,560019639003,-105.63241446782531,41.918696184410216
32,560019639004,-105.68669216876124,41.08298949000767
160,560210002001,-104.789682060105,41.12529708918945
288,560250011001,-106.37237456861212,42.84342461299227
35,560039627001,-108.04679776724632,44.62220561541466
419,560399678012,-110.75527758551212,43.47305533136375
169,560210004013,-104.79588028505069,41.094115819676645
427,560419752021,-110.3260333130034,41.29720777565634
45,560050001031,-105.7492451368898,43.73374266719499
46,560050002001,-105.48063920454076,44.2583052976859
430,560419753012,-110.9197842974874,41.0936599191302
306,560250018021,-107.0715135737621,42.96726175013096
52,560050003003,-105.43485260646784,44.27990765010456
444,560430002003,-107.40387523591464,43.84227405455324
318,560299652005,-108.75810768570716,44.75456087569539
321,560299653013,-110.13043952825336,44.785545705726925
67,560050007022,-105.46047898850624,44.34965263021586
196,560210009004,-104.83071879623546,41.14919527609539
76,560079677004,-107.22087765352984,41.78480954102982
335,560319594011,-105.13825165223852,42.08173047330897
208,560210013011,-104.82355964071306,41.17308006451648
340,560319594021,-104.90675196801811,41.85340799201703
85,560079681001,-106.4669007182536,42.18250487833988
345,560330001004,-106.95184385912027,44.75661041393743
92,560099565002,-105.40104052171544,42.75384968849769
93,560099566001,-105.4773854549342,43.168258847329824
352,560330004001,-106.94939075208394,44.81351192215188
97,560099567002,-105.85993228374882,42.846428542459584
101,560119502004,-104.75203943325086,44.374677077286606
359,560330005022,-107.13546721314692,44.64506880556155
236,560210020023,-104.54379643760278,41.26394559473056
366,560350001013,-109.90540777669484,42.71386181965767
112,560130004001,-109.70096610848157,43.39982094283558
113,560130004002,-109.66451168085496,43.7492491732002
369,560350001041,-109.3658757539695,42.57454626609523
374,560379706012,-109.4595403740975,41.507215045341766
247,560239782001,-110.82497390948402,41.94675645331999
124,560139403011,-108.37060846544814,43.02316763775798
253,560250002002,-106.31683137465086,42.857482949286606
