State,County,Tract,Block_group,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,closest_distance_top_3_pharmacy_chains,closest_distance_urgentcare_centers,closest_distance_hospitals,closest_distance_pharmacies,closest_distance_dialysis_centers,closest_distance_nursing_homes,closest_distance_fedex_facilities,closest_distance_fdic_insured_banks,closest_distance_childcare_centers,closest_distance_top_3_logistical_facilities,closest_distance_dhl_facilities,closest_distance_ups_facilities,closest_distance_private_schools,urban,closest_distance_top_3_pharmacy_chains_p_1_k_5,closest_distance_top_3_pharmacy_chains_p_2_k_5,closest_distance_top_3_pharmacy_chains_p_inf_k_5,closest_distance_top_3_pharmacy_chains_p_1_k_10,closest_distance_top_3_pharmacy_chains_p_2_k_10,closest_distance_top_3_pharmacy_chains_p_inf_k_10,closest_distance_top_3_pharmacy_chains_p_1_k_25,closest_distance_top_3_pharmacy_chains_p_2_k_25,closest_distance_top_3_pharmacy_chains_p_inf_k_25,closest_distance_top_3_pharmacy_chains_p_1_k_50,closest_distance_top_3_pharmacy_chains_p_2_k_50,closest_distance_top_3_pharmacy_chains_p_inf_k_50,closest_distance_top_3_pharmacy_chains_p_1_k_100,closest_distance_top_3_pharmacy_chains_p_2_k_100,closest_distance_top_3_pharmacy_chains_p_inf_k_100,closest_distance_hospitals_p_1_k_5,closest_distance_hospitals_p_2_k_5,closest_distance_hospitals_p_inf_k_5,closest_distance_hospitals_p_1_k_10,closest_distance_hospitals_p_2_k_10,closest_distance_hospitals_p_inf_k_10,closest_distance_hospitals_p_1_k_25,closest_distance_hospitals_p_2_k_25,closest_distance_hospitals_p_inf_k_25,closest_distance_hospitals_p_1_k_50,closest_distance_hospitals_p_2_k_50,closest_distance_hospitals_p_inf_k_50,closest_distance_hospitals_p_1_k_100,closest_distance_hospitals_p_2_k_100,closest_distance_hospitals_p_inf_k_100,closest_distance_urgentcare_centers_p_1_k_5,closest_distance_urgentcare_centers_p_2_k_5,closest_distance_urgentcare_centers_p_inf_k_5,closest_distance_urgentcare_centers_p_1_k_10,closest_distance_urgentcare_centers_p_2_k_10,closest_distance_urgentcare_centers_p_inf_k_10,closest_distance_urgentcare_centers_p_1_k_25,closest_distance_urgentcare_centers_p_2_k_25,closest_distance_urgentcare_centers_p_inf_k_25,closest_distance_urgentcare_centers_p_1_k_50,closest_distance_urgentcare_centers_p_2_k_50,closest_distance_urgentcare_centers_p_inf_k_50,closest_distance_urgentcare_centers_p_1_k_100,closest_distance_urgentcare_centers_p_2_k_100,closest_distance_urgentcare_centers_p_inf_k_100,closest_distance_nursing_homes_p_1_k_5,closest_distance_nursing_homes_p_2_k_5,closest_distance_nursing_homes_p_inf_k_5,closest_distance_nursing_homes_p_1_k_10,closest_distance_nursing_homes_p_2_k_10,closest_distance_nursing_homes_p_inf_k_10,closest_distance_nursing_homes_p_1_k_25,closest_distance_nursing_homes_p_2_k_25,closest_distance_nursing_homes_p_inf_k_25,closest_distance_nursing_homes_p_1_k_50,closest_distance_nursing_homes_p_2_k_50,closest_distance_nursing_homes_p_inf_k_50,closest_distance_nursing_homes_p_1_k_100,closest_distance_nursing_homes_p_2_k_100,closest_distance_nursing_homes_p_inf_k_100,closest_distance_childcare_centers_p_1_k_5,closest_distance_childcare_centers_p_2_k_5,closest_distance_childcare_centers_p_inf_k_5,closest_distance_childcare_centers_p_1_k_10,closest_distance_childcare_centers_p_2_k_10,closest_distance_childcare_centers_p_inf_k_10,closest_distance_childcare_centers_p_1_k_25,closest_distance_childcare_centers_p_2_k_25,closest_distance_childcare_centers_p_inf_k_25,closest_distance_childcare_centers_p_1_k_50,closest_distance_childcare_centers_p_2_k_50,closest_distance_childcare_centers_p_inf_k_50,closest_distance_childcare_centers_p_1_k_100,closest_distance_childcare_centers_p_2_k_100,closest_distance_childcare_centers_p_inf_k_100,closest_distance_fdic_insured_banks_p_1_k_5,closest_distance_fdic_insured_banks_p_2_k_5,closest_distance_fdic_insured_banks_p_inf_k_5,closest_distance_fdic_insured_banks_p_1_k_10,closest_distance_fdic_insured_banks_p_2_k_10,closest_distance_fdic_insured_banks_p_inf_k_10,closest_distance_fdic_insured_banks_p_1_k_25,closest_distance_fdic_insured_banks_p_2_k_25,closest_distance_fdic_insured_banks_p_inf_k_25,closest_distance_fdic_insured_banks_p_1_k_50,closest_distance_fdic_insured_banks_p_2_k_50,closest_distance_fdic_insured_banks_p_inf_k_50,closest_distance_fdic_insured_banks_p_1_k_100,closest_distance_fdic_insured_banks_p_2_k_100,closest_distance_fdic_insured_banks_p_inf_k_100,closest_distance_private_schools_p_1_k_5,closest_distance_private_schools_p_2_k_5,closest_distance_private_schools_p_inf_k_5,closest_distance_private_schools_p_1_k_10,closest_distance_private_schools_p_2_k_10,closest_distance_private_schools_p_inf_k_10,closest_distance_private_schools_p_1_k_25,closest_distance_private_schools_p_2_k_25,closest_distance_private_schools_p_inf_k_25,closest_distance_private_schools_p_1_k_50,closest_distance_private_schools_p_2_k_50,closest_distance_private_schools_p_inf_k_50,closest_distance_private_schools_p_1_k_100,closest_distance_private_schools_p_2_k_100,closest_distance_private_schools_p_inf_k_100
4,1,942600,1,40019426001,956,0.0,0.0,100.0,0.0,0.0,0.0,29.29,40.79,44.56,14.64,aian_alone,-109.84267170693012,36.67146468645674,136.186,146.818,60.859,36.942,37.426,60.784,100.747,48.394,36.597,100.747,100.747,130.707,19.883,False,55.405,55.405,34.522,55.405,55.405,32.659,32.659,32.659,32.659,32.659,32.659,27.29,0.0,0.0,27.29,60.859,60.859,60.859,60.859,60.859,0.0,32.659,32.659,0.0,32.659,32.659,0.0,32.659,0.0,0.0,67.411,67.411,67.411,67.411,67.411,67.411,24.096,24.096,32.659,24.096,24.096,32.659,24.096,24.096,32.659,60.784,60.784,24.096,24.096,24.096,24.096,24.096,24.096,24.096,24.096,24.096,24.096,24.096,0.0,0.0,36.597,36.597,24.096,24.096,24.096,24.096,24.096,24.096,24.096,0.0,0.0,0.0,0.0,0.0,0.0,48.394,48.394,24.096,48.394,24.096,24.096,0.0,24.096,24.096,0.0,24.096,24.096,0.0,0.0,0.0,19.883,19.883,0.0,19.883,19.883,0.0,19.883,19.883,0.0,19.883,19.883,0.0,19.883,19.883,0.0
4,1,942600,2,40019426002,755,0.0,0.0,99.47,0.0,0.0,0.0,38.54,39.21,52.58,8.21,aian_alone,-109.88389159636944,36.91465868231611,126.521,140.37,85.398,27.456,40.136,85.338,124.19,55.361,35.173,121.377,121.377,121.377,31.358,False,81.911,81.911,60.439,81.911,81.911,35.579,35.579,35.579,35.579,35.579,35.579,0.0,27.29,0.0,0.0,82.24,62.907,85.398,82.24,62.907,27.29,35.579,35.579,27.29,35.579,35.579,27.29,35.579,27.29,27.29,94.3,94.3,94.3,82.24,82.24,94.3,30.924,30.924,35.579,30.924,30.924,35.579,30.924,30.924,35.579,82.24,82.24,30.924,30.924,30.924,30.924,30.924,30.924,30.924,30.924,30.924,0.0,0.0,0.0,0.0,35.173,35.173,30.924,30.924,30.924,0.0,30.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.361,55.361,30.924,55.361,30.924,30.924,27.29,30.924,30.924,27.29,0.0,0.0,0.0,0.0,0.0,31.358,31.358,27.29,31.358,31.358,27.29,31.358,31.358,27.29,31.358,31.358,27.29,31.358,31.358,27.29
4,1,942700,1,40019427001,1098,0.0,0.0,100.0,0.0,0.0,0.0,37.7,28.78,60.56,10.66,aian_alone,-109.17633394484042,36.9113516441403,72.829,88.965,44.72,16.326,44.741,68.128,70.978,40.668,12.463,67.24,67.24,67.24,45.566,False,72.829,72.829,69.453,72.829,72.829,69.453,20.112,20.112,20.112,20.112,20.112,20.112,20.112,20.112,20.112,44.72,0.0,44.72,44.72,0.0,44.72,44.72,0.0,44.72,20.112,0.0,44.72,20.112,0.0,20.112,88.965,88.965,88.965,88.965,88.965,88.965,40.96,40.96,20.112,40.96,40.96,20.112,40.96,40.96,20.112,68.128,68.128,40.96,40.96,40.96,40.96,40.96,40.96,40.96,40.96,20.112,0.0,0.0,20.112,0.0,12.463,12.463,12.463,12.463,12.463,12.463,12.463,12.463,12.463,12.463,12.463,12.463,12.463,12.463,12.463,40.668,40.668,40.668,40.668,40.668,33.351,20.112,33.351,20.112,20.112,20.112,20.112,20.112,20.112,20.112,45.566,45.566,45.566,45.566,45.566,45.566,45.566,45.566,45.566,45.566,45.566,45.566,33.351,0.0,0.0
4,1,942700,2,40019427002,1757,1.54,0.57,90.61,2.16,0.17,1.42,33.12,30.79,58.11,11.1,aian_alone,-109.59560116187215,36.75940015575894,112.527,124.799,66.906,31.432,59.327,66.775,109.26,53.149,47.074,107.009,107.009,107.009,5.47,False,60.225,60.225,39.228,60.225,60.225,39.228,20.928,20.928,20.928,20.928,20.928,20.928,20.928,20.928,20.928,66.906,40.96,66.906,66.906,40.96,24.096,54.316,40.96,24.096,20.928,26.979,24.096,20.928,24.096,20.928,73.403,73.403,73.403,73.403,73.403,73.403,0.0,0.0,20.928,0.0,0.0,20.928,0.0,0.0,20.928,66.775,66.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.074,47.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.149,53.149,0.0,53.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47
4,1,942700,3,40019427003,1162,0.95,0.0,96.21,0.34,0.0,2.5,43.55,42.25,45.61,12.13,aian_alone,-109.3760819613213,36.82662232659792,92.46,105.457,60.987,15.217,61.005,77.046,90.103,59.129,29.877,86.897,86.897,86.897,25.454,False,70.255,70.255,52.055,70.255,70.255,52.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.987,20.112,60.987,60.987,20.112,45.009,60.987,20.112,45.009,0.0,20.112,44.872,0.0,20.112,0.0,83.188,83.188,83.188,83.188,83.188,83.188,20.928,20.928,0.0,20.928,20.928,0.0,20.928,20.928,0.0,77.046,77.046,20.928,20.928,20.928,20.928,20.928,20.928,20.928,20.928,0.0,20.112,20.112,0.0,20.112,29.877,29.877,20.928,20.928,20.928,20.928,20.928,20.928,20.928,20.928,0.0,20.928,0.0,0.0,0.0,59.129,59.129,20.928,59.129,20.928,20.928,0.0,20.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,20.112,20.112
4,1,942700,4,40019427004,1452,0.76,0.0,98.21,0.0,0.0,0.0,37.74,34.99,54.2,10.61,aian_alone,-109.14659964904712,36.61236712293168,83.167,86.46,45.888,35.31,45.897,65.089,70.883,50.213,30.249,70.883,70.883,81.796,44.411,False,58.936,58.936,49.417,58.936,58.936,49.417,31.4,31.4,31.4,31.4,21.82,21.82,21.82,21.82,21.82,45.888,33.351,45.888,45.888,33.351,45.888,45.888,33.351,45.888,31.4,27.347,21.82,31.4,27.347,21.82,69.707,69.707,69.707,69.707,69.707,69.707,43.247,43.247,31.4,43.247,43.247,31.4,42.97,21.82,31.4,65.089,65.089,43.247,43.247,43.247,43.247,43.247,21.82,21.82,21.82,21.82,21.82,21.82,0.0,21.82,30.249,30.249,30.249,30.249,30.249,30.249,30.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.213,50.213,43.247,50.213,43.247,0.0,21.82,0.0,0.0,21.82,0.0,0.0,21.82,0.0,0.0,44.411,44.411,44.411,44.411,44.411,44.411,44.411,44.411,44.411,44.411,44.411,44.411,0.0,21.82,21.82
4,1,944000,1,40019440001,1745,0.11,0.0,97.31,0.0,0.0,0.06,30.49,52.61,39.14,8.25,aian_alone,-109.15240474168137,35.977278167216305,60.68,122.199,25.983,25.979,61.787,45.536,34.451,39.442,13.264,34.451,34.451,60.227,35.829,False,47.288,47.288,60.68,47.288,47.288,29.305,42.37,34.022,29.305,42.37,34.022,29.305,25.656,25.339,25.339,25.983,25.983,25.983,25.983,25.983,25.983,25.983,25.983,25.983,25.983,25.983,25.983,25.983,25.983,25.983,41.946,41.946,41.946,41.946,41.946,41.946,41.946,34.022,41.946,41.946,34.022,41.946,29.802,34.022,34.15,45.536,45.536,34.022,45.536,29.305,34.022,29.802,29.305,25.656,29.802,25.656,25.656,0.0,0.0,0.0,13.264,13.264,13.264,13.264,13.264,13.264,13.264,13.264,13.264,13.264,13.264,13.264,13.264,0.0,13.264,39.442,39.442,30.962,39.442,39.442,30.962,25.656,30.962,25.339,25.656,25.339,25.339,0.0,0.0,0.0,35.829,35.829,35.829,35.829,35.829,35.829,35.829,35.829,35.829,35.829,35.829,35.829,25.656,25.656,35.829
4,1,944000,2,40019440002,2333,4.33,2.91,82.55,2.36,0.0,4.54,29.02,52.85,42.52,4.63,aian_alone,-109.09119461769468,35.75410279566944,38.381,137.76,3.895,3.882,40.159,36.951,9.109,14.029,2.858,9.109,9.109,36.758,10.417,False,38.381,38.381,38.381,38.381,38.381,6.833,18.367,8.644,6.833,18.367,8.644,6.833,4.573,8.644,6.833,3.895,3.895,3.895,3.895,3.895,3.895,3.895,3.895,3.895,3.895,3.895,3.895,3.895,3.895,3.895,59.342,59.342,59.342,59.342,59.342,18.367,18.367,8.644,18.367,18.367,8.644,18.367,4.573,8.644,8.827,36.951,36.951,8.644,36.951,6.833,8.644,4.573,6.833,8.644,4.573,6.833,8.644,4.573,6.833,8.644,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,14.029,14.029,14.029,14.029,14.029,14.029,14.029,14.029,8.827,14.029,14.029,8.827,4.573,8.827,8.827,10.417,10.417,10.417,10.417,10.417,10.417,10.417,10.417,10.417,10.417,10.417,10.417,10.417,10.417,10.417
4,1,944000,3,40019440003,2499,1.76,0.0,94.4,0.4,0.0,0.12,38.38,33.57,60.34,5.96,aian_alone,-109.06538799298984,35.71871218704923,34.081,139.678,4.744,4.759,35.964,32.399,4.654,9.88,2.303,4.654,4.654,32.284,6.36,False,34.081,34.081,34.081,34.081,34.081,7.505,15.664,4.885,7.505,15.664,4.885,7.505,0.0,4.885,4.349,4.744,4.744,4.744,4.744,4.744,4.744,4.744,4.744,4.744,4.744,4.744,4.744,4.744,4.744,4.744,63.685,63.685,63.685,63.685,63.685,15.664,15.664,4.885,15.664,15.664,4.885,15.664,0.0,4.885,4.349,32.399,32.399,4.885,32.399,7.505,4.885,0.0,7.505,4.885,0.0,7.505,4.885,0.0,4.349,4.885,2.303,2.303,2.303,2.303,2.303,2.303,2.303,2.303,2.303,2.303,2.303,2.303,2.303,2.303,2.303,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,4.349,9.88,9.88,4.349,0.0,4.349,4.349,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36
4,1,944100,1,40019441001,1353,0.07,0.0,99.93,0.0,0.0,0.0,51.81,15.45,74.28,10.27,aian_alone,-109.21676635408228,36.41388016935292,95.291,99.05,45.168,12.579,63.97,44.984,83.138,37.551,12.488,83.138,83.138,93.998,49.8,False,39.65,39.65,37.679,39.65,39.65,37.679,39.65,39.65,37.679,39.65,3.988,3.988,3.988,3.988,3.988,45.168,45.168,45.168,45.168,45.168,45.168,45.168,45.168,45.168,45.168,25.251,3.988,25.99,13.533,3.988,48.65,48.65,48.65,48.65,48.65,48.65,48.65,48.65,48.047,48.65,48.65,25.99,25.99,3.988,25.99,44.984,44.984,44.984,44.984,44.984,44.984,44.984,3.988,3.988,3.988,3.988,3.988,3.988,3.988,3.988,12.488,12.488,12.488,12.488,12.488,12.488,12.488,12.488,12.488,12.488,12.488,12.488,12.488,12.488,12.488,37.551,37.551,37.551,37.551,37.551,22.944,3.988,22.944,3.988,3.988,22.944,3.988,3.988,22.944,3.988,49.8,49.8,49.8,49.8,49.8,39.65,39.65,39.65,39.65,39.65,39.65,39.65,22.944,3.988,3.988
4,1,944100,2,40019441002,1402,0.0,0.0,99.64,0.0,0.0,0.0,42.44,26.82,62.55,10.63,aian_alone,-109.44285061699,36.54998819380661,110.433,113.771,46.048,33.956,72.779,45.884,98.214,33.1,28.75,98.214,98.214,109.067,24.814,False,39.106,39.106,23.497,39.106,39.106,23.497,31.331,31.331,23.497,31.331,21.263,21.263,21.263,21.263,21.263,46.048,46.048,46.048,46.048,46.048,38.158,46.048,46.048,38.158,31.331,0.0,21.263,23.177,0.0,21.263,51.91,51.91,51.91,51.91,51.91,51.91,26.979,26.979,31.331,26.979,26.979,23.177,23.177,21.263,23.177,45.884,45.884,26.979,26.979,26.979,26.979,26.979,21.263,21.263,21.263,21.263,21.263,21.263,21.263,21.263,28.75,28.75,26.979,26.979,26.979,26.979,26.979,0.0,26.979,0.0,0.0,0.0,0.0,0.0,0.0,33.1,33.1,26.979,33.1,26.979,26.979,21.263,26.979,21.263,21.263,26.979,21.263,21.263,0.0,21.263,24.814,24.814,24.814,24.814,24.814,24.814,24.814,24.814,24.814,24.814,24.814,24.814,24.814,21.263,21.263
4,1,944100,3,40019441003,909,0.0,0.0,100.0,0.0,0.0,0.0,51.16,33.66,58.09,8.25,aian_alone,-109.21879397530503,36.198748743125634,84.799,110.824,35.222,11.363,82.273,35.074,59.786,35.617,11.477,59.786,59.786,84.844,61.16,False,33.052,33.052,44.184,33.052,33.052,44.184,33.052,33.052,35.444,33.052,26.495,26.495,26.495,0.0,0.0,35.222,35.222,35.222,35.222,35.222,35.222,35.222,35.222,35.222,35.222,35.222,26.495,29.629,15.215,26.495,35.444,35.444,35.444,35.444,35.444,35.444,35.444,35.444,35.444,35.444,35.444,29.629,29.629,26.495,29.629,35.074,35.074,35.074,35.074,35.074,35.074,35.074,26.495,26.495,26.495,26.495,26.495,0.0,0.0,0.0,11.477,11.477,11.477,11.477,11.477,11.477,11.477,11.477,11.477,11.477,11.477,11.477,11.477,11.477,11.477,35.617,35.617,25.136,35.617,35.617,25.136,25.136,25.136,0.0,25.136,0.0,0.0,0.0,0.0,0.0,61.16,61.16,61.16,61.16,61.16,33.052,33.052,33.052,33.052,33.052,33.052,33.052,33.052,26.495,26.495
4,1,944100,4,40019441004,1695,11.86,0.88,78.58,0.59,0.0,6.84,52.73,19.23,74.51,6.25,aian_alone,-109.3064405633551,36.31591566118803,100.002,110.934,32.254,7.632,77.313,32.073,74.488,26.804,8.802,74.488,74.488,99.99,53.025,False,27.368,27.368,31.394,27.368,27.368,31.394,27.368,27.368,31.394,27.368,14.15,14.15,14.15,14.15,14.15,32.254,32.254,32.254,32.254,32.254,32.254,32.254,32.254,32.254,32.254,28.747,14.15,17.166,0.0,14.15,35.287,35.287,35.287,35.287,35.287,35.287,35.287,35.287,35.287,35.287,35.287,17.166,17.166,14.15,17.166,32.073,32.073,32.073,32.073,32.073,32.073,32.073,14.15,14.15,14.15,14.15,14.15,14.15,14.15,14.15,8.802,8.802,8.802,8.802,8.802,8.802,8.802,8.802,8.802,8.802,8.802,8.802,8.802,8.802,8.802,26.804,26.804,26.804,26.804,26.804,26.804,14.15,26.804,14.15,14.15,15.215,14.15,14.15,15.215,14.15,53.025,53.025,53.025,53.025,53.025,27.368,27.368,27.368,27.368,27.368,27.368,27.368,27.368,14.15,14.15
4,1,944100,5,40019441005,824,0.0,0.0,100.0,0.0,0.0,0.0,62.5,12.5,78.64,8.86,aian_alone,-109.25234575153878,36.435485169251095,97.395,101.089,44.373,15.192,64.778,44.189,86.053,35.726,15.355,86.053,86.053,96.085,45.833,False,38.489,38.489,34.618,38.489,38.489,34.618,38.489,38.489,34.618,38.489,0.0,0.0,0.0,0.0,0.0,44.373,44.373,44.373,44.373,44.373,44.373,44.373,44.373,44.373,44.373,21.263,0.0,23.86,14.15,0.0,48.321,48.321,48.321,48.321,48.321,48.321,47.289,47.289,44.872,47.289,47.289,23.86,23.86,0.0,23.86,44.189,44.189,44.189,44.189,44.189,44.189,44.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.355,15.355,15.355,15.355,15.355,15.355,15.355,15.355,15.355,15.355,15.355,15.355,15.355,15.355,15.355,35.726,35.726,35.726,35.726,35.726,21.82,0.0,21.82,0.0,0.0,21.82,0.0,0.0,21.263,0.0,45.833,45.833,45.833,45.833,45.833,38.489,38.489,38.489,38.489,38.489,38.489,38.489,21.82,0.0,0.0
4,1,944201,1,40019442011,1926,2.54,0.0,94.18,0.0,0.0,0.42,52.38,29.6,64.12,6.28,aian_alone,-109.59383620113232,36.09927776800107,97.723,145.156,6.611,6.62,76.663,6.731,63.219,20.272,4.269,63.219,63.219,95.892,67.453,False,13.2,13.2,34.581,13.2,13.2,34.581,13.2,13.2,0.0,13.2,13.2,0.0,13.2,13.2,0.0,6.611,6.611,6.611,6.611,6.611,6.611,6.611,6.611,6.611,6.611,6.611,6.611,6.611,6.611,6.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.731,6.731,6.731,6.731,6.731,6.731,6.731,6.731,6.731,6.731,6.731,6.731,6.731,6.731,6.731,4.269,4.269,4.269,4.269,4.269,4.269,4.269,4.269,4.269,4.269,4.269,4.269,4.269,4.269,4.269,20.272,20.272,11.522,20.272,20.272,11.522,11.522,11.522,11.522,11.522,11.522,11.522,11.522,11.522,11.522,67.453,67.453,67.411,67.453,67.453,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2
4,1,944201,2,40019442012,2614,4.36,1.22,86.34,0.0,0.0,0.0,57.6,56.58,33.4,7.46,aian_alone,-109.69818474775695,36.18075446798462,110.732,149.083,8.486,8.503,72.397,8.584,60.967,14.11,9.163,60.967,60.967,108.925,59.984,False,10.843,10.843,25.869,10.843,10.843,25.869,10.843,10.843,13.034,10.843,10.843,13.034,10.843,10.843,13.034,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,13.034,13.034,13.034,13.034,13.034,13.034,13.034,13.034,13.034,13.034,13.034,13.034,13.034,13.034,13.034,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,9.163,9.163,9.163,9.163,9.163,9.163,9.163,9.163,9.163,9.163,9.163,9.163,9.163,9.163,9.163,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,59.984,59.984,56.075,59.984,59.984,10.843,10.843,10.843,10.843,10.843,10.843,10.843,10.843,10.843,10.843
4,1,944202,1,40019442021,1703,0.0,0.0,97.94,0.0,0.0,0.0,67.23,49.56,38.99,11.45,aian_alone,-109.58642353209858,36.21783750563959,106.253,138.264,6.951,6.956,81.646,6.791,71.272,7.219,7.029,71.272,71.272,104.903,55.641,False,0.0,0.0,21.666,0.0,0.0,21.666,0.0,0.0,13.2,0.0,0.0,13.2,0.0,0.0,13.2,6.951,6.951,6.951,6.951,6.951,6.951,6.951,6.951,6.951,6.951,6.951,6.951,6.951,6.951,6.951,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,6.791,6.791,6.791,6.791,6.791,6.791,6.791,6.791,6.791,6.791,6.791,6.791,6.791,6.791,6.791,7.029,7.029,7.029,7.029,7.029,7.029,7.029,7.029,7.029,7.029,7.029,7.029,7.029,7.029,7.029,7.219,7.219,7.219,7.219,7.219,7.219,7.219,7.219,7.219,7.219,7.219,7.219,7.219,7.219,7.219,55.641,55.641,55.405,55.641,55.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,944202,2,40019442022,887,0.0,0.0,100.0,0.0,0.0,0.0,29.09,37.43,53.66,8.91,aian_alone,-109.49340337796198,36.21660048717026,100.525,130.896,12.182,12.181,88.04,12.002,71.768,12.152,10.578,71.768,71.768,99.479,56.929,False,8.346,8.346,24.928,8.346,8.346,24.928,8.346,8.346,15.858,8.346,8.346,15.858,8.346,8.346,15.858,12.182,12.182,12.182,12.182,12.182,12.182,12.182,12.182,12.182,12.182,12.182,12.182,12.182,12.182,12.182,15.858,15.858,15.858,15.858,15.858,15.858,15.858,15.858,15.858,15.858,15.858,14.359,14.359,15.858,14.359,12.002,12.002,12.002,12.002,12.002,12.002,12.002,12.002,12.002,12.002,12.002,12.002,12.002,12.002,12.002,10.578,10.578,10.578,10.578,10.578,10.578,10.578,10.578,10.578,10.578,10.578,10.578,10.578,10.578,10.578,12.152,12.152,12.152,12.152,12.152,12.152,12.152,12.152,12.152,12.152,12.152,12.152,12.152,12.152,12.152,56.929,56.929,56.929,56.929,56.929,8.346,8.346,8.346,8.346,8.346,8.346,8.346,8.346,8.346,8.346
4,1,944202,3,40019442023,917,0.87,0.0,94.0,0.0,0.0,0.98,28.35,30.64,64.23,5.13,aian_alone,-109.46587812076888,36.092490303707145,88.731,135.823,14.679,14.67,87.175,14.629,59.161,24.326,12.582,59.161,59.161,87.296,59.619,False,17.647,17.647,38.344,17.647,17.647,38.344,17.647,17.647,11.522,17.647,17.647,11.522,15.854,15.854,11.522,14.679,14.679,14.679,14.679,14.679,14.679,14.679,14.679,14.679,14.679,14.679,14.679,14.679,14.679,14.679,11.522,11.522,11.522,11.522,11.522,11.522,11.522,11.522,11.522,11.522,11.522,11.522,11.522,11.522,11.522,14.629,14.629,14.629,14.629,14.629,14.629,14.629,14.629,14.629,14.629,14.629,14.629,14.629,14.629,14.629,12.582,12.582,12.582,12.582,12.582,12.582,12.582,12.582,12.582,12.582,12.582,12.582,12.582,12.582,12.582,24.326,24.326,0.0,24.326,24.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.619,59.619,59.619,59.619,59.619,17.647,17.647,17.647,17.647,17.647,17.647,17.647,15.854,15.854,17.647
4,1,944301,1,40019443011,1198,1.67,0.0,96.24,1.84,0.0,0.17,46.56,63.02,30.22,6.26,aian_alone,-109.6377609834077,36.40824382038,125.182,134.662,27.978,27.985,65.096,27.863,83.314,14.448,8.044,83.314,83.314,124.277,34.363,False,21.666,21.666,0.0,21.666,21.666,0.0,21.666,21.666,0.0,21.666,21.666,0.0,21.666,0.0,0.0,27.978,27.978,27.978,27.978,27.978,27.978,27.978,27.978,27.978,27.978,23.497,27.978,14.591,23.497,27.978,34.581,34.581,34.581,34.581,34.581,34.581,34.581,34.581,34.581,34.581,34.581,14.591,14.591,0.0,14.591,27.863,27.863,27.863,27.863,27.863,27.863,27.863,27.863,27.863,27.863,0.0,0.0,0.0,0.0,0.0,8.044,8.044,8.044,8.044,8.044,8.044,8.044,8.044,8.044,8.044,8.044,8.044,8.044,8.044,8.044,14.448,14.448,14.448,14.448,14.448,14.448,14.448,14.448,14.448,14.448,14.448,14.448,14.448,14.448,14.448,34.363,34.363,34.363,34.363,34.363,21.666,21.666,21.666,21.666,21.666,21.666,21.666,21.666,21.666,21.666
