,GEOID,Longitude,Latitude
546,540390007003,-81.66286640603758,38.36753999684011
1230,540779638012,-79.5266080693043,39.68130733060538
592,540390103001,-81.75258285136387,38.36893234798328
57,540039717002,-77.97224265544617,39.45460488667924
732,540439556004,-82.2212290320026,38.12605801499031
646,540390115003,-81.56750304793653,38.27626473300988
852,540490218002,-80.31758555372701,39.47058512378789
758,540459566004,-81.79619601908215,37.702705301210365
1304,540810002002,-81.17195212229504,37.762466477519325
605,540390106022,-81.82732510181707,38.39324906869909
609,540390107021,-81.75971905435578,38.43631650789144
228,540110108022,-82.12455203350792,38.436990225911245
742,540459561023,-82.01897621365057,37.98843919284576
359,540279685003,-78.73128186245421,39.21069406353629
631,540390112003,-81.27837973409848,38.50576035396016
1566,541070009011,-81.55209162265142,39.25048324646156
330,540259505003,-80.64392247473738,37.73172461045442
855,540510202002,-80.75227470440538,39.92598994008981
1040,540610109012,-79.94924761103903,39.62549658801965
1394,540859625001,-81.04230229642404,39.22444859553723
19,540039711014,-77.90997788914416,39.53245592511048
1494,540990204004,-82.45250525723007,38.35319551704409
471,540359633002,-81.75861795081,38.95543951858256
91,540039721051,-78.02732319732519,39.36179559800936
286,540190211001,-80.99904358139638,37.92894888405713
388,540290214003,-80.5791774866642,40.41202114529544
647,540390115004,-81.53631710915803,38.228834588063016
397,540319702011,-78.96732990845464,39.07081686824375
1295,540790206083,-82.0287957570457,38.42637243534861
1308,540810003003,-81.17739217484596,37.744523441064565
415,540330304001,-80.3253951684842,39.27385418350225
160,540110010002,-82.4875626658999,38.40835832919496
545,540390007002,-81.65709136161807,38.36289578605951
1447,540939653003,-79.60150425170741,39.09755841667715
1321,540810008023,-81.11512157654404,37.79111989190161
1067,540610114005,-80.29352346091451,39.644100215494205
815,540490208002,-80.129144267597,39.48100300412643
308,540259501011,-80.29420108861495,37.80588442582644
55,540039716005,-77.96584813424126,39.45859357832938
1209,540719705004,-79.35080928075152,38.67666328647787
317,540259502004,-80.69023389327167,37.96253836040376
1346,540810012002,-81.47416355646243,37.89543884503435
1488,540990203004,-82.58119270374485,38.400617456383145
483,540359637011,-81.72986290353047,38.71667463533493
995,540599576002,-82.00710815923853,37.57608698945396
1386,540839665004,-79.96085027131396,38.57512472394804
246,540179650002,-80.66078793939626,39.34342691013058
120,540079681003,-80.74214458668452,38.59835567908847
1145,540679505002,-80.5624166442818,38.23916538341305
638,540390113024,-81.49932169929971,38.40660230971845
1282,540790205004,-81.82501829039857,38.43804080729244
1538,541030307002,-80.85916399863072,39.63400908618786
772,540479536002,-81.37882765312034,37.39416273290341
134,540090314021,-80.59933683097536,40.27198364910548
526,540379727023,-77.79191342748197,39.2353078704516
271,540190205002,-81.16029313685962,37.88986027099461
1552,541070004002,-81.52493307233134,39.27782331650149
17,540039711012,-77.8456730240484,39.57549024582939
789,540479545042,-81.79495720435663,37.39352514910859
921,540550012003,-81.05451260525999,37.377400411113165
1179,540690017002,-80.65841784435453,40.05320725818284
296,540219678002,-80.80748595088832,38.948042075045294
170,540110014001,-82.42561944237771,38.41719240337984
939,540550018003,-81.15496565186318,37.32609286252156
1325,540810008033,-81.07730062814413,37.71173959198614
46,540039714023,-77.93593127933235,39.46962006453136
688,540390135002,-81.8138407374604,38.38011776026168
819,540490209002,-80.17162662185987,39.445344717247465
1587,541070106011,-81.44658871538753,39.33639260370602
1595,541070107032,-81.50626041979689,39.18967434384363
701,540390138001,-81.84954886147824,38.40410343460988
1472,540979670001,-80.32641234725196,38.75734833043437
1218,540739622004,-81.21989118810501,39.3771928973506
964,540570103003,-78.75368201955025,39.49861120770187
1092,540610118052,-79.90697241885056,39.61829588727316
1349,540810013001,-81.24612523479993,37.78958395211059
455,540330319002,-80.29475898198868,39.39371588031641
1098,540610118064,-79.87315568344572,39.65848977774044
589,540390102001,-81.74065037367433,38.35836366788399
206,540110104011,-82.28936005535539,38.41144504498321
462,540330321034,-80.24530266356432,39.296753570736975
721,540439554013,-81.87697431606152,38.20288838233023
979,540599571003,-82.30787889691887,37.82840899957285
341,540279682011,-78.48715458916877,39.39238255299015
1111,540639502003,-80.52594062345672,37.57956605973948
728,540439555004,-82.12227861326619,38.24622209668777
1499,540990205004,-82.40940556644183,38.228100279600376
1630,541090031003,-81.48654237760664,37.59233718683731
223,540110107021,-82.20508141820325,38.43678939559975
868,540510209003,-80.68044961478198,39.869569591339264
1253,540779643003,-79.85207277345232,39.50480975037871
1381,540839664004,-79.87450645768725,38.82683558617794
231,540110109002,-82.44732196449972,38.41686812558291
616,540390108032,-81.65873409084712,38.47321465626013
1005,540610101032,-79.95879792234143,39.64123745222392
1133,540659710022,-78.296109369996,39.52599292672675
244,540159581003,-81.1025327955171,38.38254730656551
888,540539548021,-81.98115219648766,38.9837961437195
1276,540790204002,-81.89240799500851,38.51795538496716
1535,541030305003,-80.57993838364231,39.55601063681697
